,,avg_tput,avg_tput,avg_cpu,avg_cpu,deliver_late_chance,deliver_late_chance,deliver_late_dur_ms,deliver_late_dur_ms,sched_dur_ms,sched_dur_ms
,,mean,std,mean,std,mean,std,mean,std,mean,std
correct-type,num-faulty,,,,,,,,,,
Basic,0,2408.7717592592594,485.98176408167086,55.88350111111111,2.8708028739651126,1.0677005622552572e-05,7.358231941842169e-06,94.2314427690013,13.002028687610206,0.02958832954978285,0.0020506153011400604
Basic,2,2447.9180555555554,218.64590580169215,53.920436037037035,1.0220473224727666,4.5812420352829e-06,8.953880166978195e-07,79.367242685011,28.823353685864422,0.03025477509635438,0.001006262493291204
Basic,4,2561.5996913580243,580.6497257342592,56.1611615925926,1.0344414968364302,8.146587985031737e-06,4.518437182052258e-06,47.813044505832316,24.5223238403363,0.028824405133129023,0.0009636106313643246
Basic,6,2797.82299382716,261.208500448432,64.19615527777778,0.4134343530521543,7.256123035357211e-06,1.9767715095341946e-06,113.9141359399611,51.89851382934977,0.03059859657460901,0.00012491574242022723
NoCache,0,708.4499999999998,197.98343949637498,55.98199188888888,7.522608494288191,1.5899460859662185e-05,3.099274295197726e-06,51.9647214477551,16.595555733751095,0.05751185458369884,0.0011357132035776094
NoCache,2,647.0833333333334,168.34146304167712,51.15108227777778,5.981018436583631,1.665065225053528e-05,7.688465213317033e-06,104.80480232804234,38.59741902798536,0.05650871441316829,0.001296943353988236
NoCache,4,594.6851851851852,222.295919747111,51.34521222222222,3.8994061478921322,1.3435915298076458e-05,1.572291997674485e-06,102.19538662135894,15.712357822224561,0.06165008915408294,0.0027028297609077
NoCache,6,417.8666666666666,7.871516474284896,72.79864344444445,0.9501410858765528,2.7563438875069025e-05,3.3164631364977484e-06,45.46424621072797,6.602028294542512,0.11218129759515527,0.0015744006722379295
